BuildingType,PrimaryPropertyType,Neighborhood,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),UsageComplexity,HasNaturalGas,HasSteam,DensityPerFloor,IsLargeBuilding,IsDowntown
SPS-District K-12,K-12 School,DELRIDGE,2,367884,367884,K-12 School,K-12 School,367884.0,,,,,12265516.0,1,1,0,183942.0,1,0
SPS-District K-12,K-12 School,DELRIDGE,1,46797,46797,K-12 School,K-12 School,46797.0,,,,,2075891.0,1,1,0,46797.0,0,0
SPS-District K-12,K-12 School,CENTRAL,3,136188,136188,K-12 School,K-12 School,136188.0,,,,,0.0,1,1,0,45396.0,1,0
NonResidential,Other,BALLARD,3,56000,56000,Other,Other,56000.0,,,,,1851260.5,1,1,0,18666.666666666668,1,0
SPS-District K-12,K-12 School,SOUTHEAST,2,67371,67371,K-12 School,K-12 School,67371.0,,,,,2128459.0,1,1,0,33685.5,1,0
NonResidential,Self-Storage Facility,SOUTHWEST,2,52088,52088,Self-Storage Facility,Self-Storage Facility,52088.0,,,,,1377519.5,1,1,0,26044.0,1,0
SPS-District K-12,K-12 School,LAKE UNION,3,127776,127776,K-12 School,K-12 School,127776.0,,,,,4748137.0,1,1,0,42592.0,1,0
NonResidential,Hotel,LAKE UNION,5,123920,93920,"Hotel, Parking, Swimming Pool",Hotel,123920.0,Parking,30000.0,Swimming Pool,0.0,9373179.0,3,1,0,18784.0,1,0
Nonresidential COS,Other,LAKE UNION,1,50000,50000,Museum,Museum,43000.0,,,,,7548807.0,1,1,0,50000.0,1,0
Nonresidential COS,Warehouse,MAGNOLIA / QUEEN ANNE,2,50292,50292,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",Non-Refrigerated Warehouse,42345.0,Residence Hall/Dormitory,5000.0,Office,4730.0,430473.6875,4,0,0,25146.0,1,0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,7,207656,153315,Hotel,Hotel,141591.0,,,,,11171988.0,1,1,0,21902.14285714286,1,0
SPS-District K-12,K-12 School,BALLARD,2,67235,67235,K-12 School,K-12 School,67235.0,,,,,2284133.75,1,1,0,33617.5,1,0
Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,2,91130,91130,"Data Center, Distribution Center, Office, Other, Parking",Office,57968.0,Distribution Center,32881.0,Parking,11850.0,9472358.0,5,1,0,45565.0,1,0
SPS-District K-12,K-12 School,SOUTHWEST,3,58118,58118,K-12 School,K-12 School,59014.0,,,,,1407277.25,1,1,0,19372.666666666668,1,0
NonResidential,Hotel,NORTHWEST,4,64893,64893,Hotel,Hotel,64893.0,,,,,6197825.0,1,1,0,16223.25,1,0
SPS-District K-12,K-12 School,NORTH,2,52792,52792,K-12 School,K-12 School,55480.0,,,,,0.0,1,0,0,26396.0,1,0
SPS-District K-12,K-12 School,GREATER DUWAMISH,1,70762,70762,K-12 School,K-12 School,70762.0,,,,,3606416.0,1,1,0,70762.0,1,0
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,3,44558,44558,"Office, Restaurant, Self-Storage Facility",Office,34416.0,Self-Storage Facility,7672.0,Restaurant,2470.0,1677002.25,3,1,0,14852.666666666666,0,1
